60000101,[火]物攻熟達 Lv1,ファイア マスタリー,火の物理ダメージを1%アップ,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000101,
60000102,[火]物攻熟達 Lv2,ファイア マスタリー,火の物理ダメージを1.5%アップ,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000102,
60000103,[火]物攻熟達 Lv3,ファイア マスタリー,火の物理ダメージを3%アップ,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,FIRE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000103,
60000111,[氷]物攻熟達 Lv1,アイス マスタリー,氷の物理ダメージを1%アップ,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000111,
60000112,[氷]物攻熟達 Lv2,アイス マスタリー,氷の物理ダメージを1.5%アップ,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000112,
60000113,[氷]物攻熟達 Lv3,アイス マスタリー,氷の物理ダメージを3%アップ,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,ICE,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000113,
60000121,[風]物攻熟達 Lv1,ウインド マスタリー,風の物理ダメージを1%アップ,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000121,
60000122,[風]物攻熟達 Lv2,ウインド マスタリー,風の物理ダメージを1.5%アップ,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000122,
60000123,[風]物攻熟達 Lv3,ウインド マスタリー,風の物理ダメージを3%アップ,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,WIND,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000123,
60000131,[光]物攻熟達 Lv1,ライト マスタリー,光の物理ダメージを1%アップ,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000131,
60000132,[光]物攻熟達 Lv2,ライト マスタリー,光の物理ダメージを1.5%アップ,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000132,
60000133,[光]物攻熟達 Lv3,ライト マスタリー,光の物理ダメージを3%アップ,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,LIGHT,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000133,
60000141,[闇]物攻熟達 Lv1,ダーク マスタリー,闇の物理ダメージを1%アップ,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000141,
60000142,[闇]物攻熟達 Lv2,ダーク マスタリー,闇の物理ダメージを1.5%アップ,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000142,
60000143,[闇]物攻熟達 Lv3,ダーク マスタリー,闇の物理ダメージを3%アップ,1,1,0.1,PER_SUCCESS,,PASSIVE,SUPPORT,DARK,MERCENARY,PHYSICS,0,12,12,RANK5,100,SELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000143,
