#ID,メイン名,サブ名,説明,スキル効果値表示パラメータ番号,スキル効果値表示機能番号,スキル効果値表示時に掛ける数,スキル効果値表示タイプ,ボイス番号,分類,種類,属性,ジョブタイプ,物理or魔法,コスト,優先度,,スキルランク,ヘイト倍率,ターゲット,,,発動トリガー,,,,,,属性デッキコンボ,機能,,,,,,,,
#,（P9/E12文字）,（14文字）,,,,,,,,,,,,,PvE,PvP,,,,発動タイミング,保持ターン,発動条件,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,一枚ごとの倍率上昇,分岐発動条件,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,優先度,機能ID,
#傭兵アーサー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#攻撃_ロンチ無課金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#第二型ガヘリス_HN/R/SR/UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100011,審判劍=魔女破滅,JUGDEMENT WITCH,敵單體/物理/{1}的火屬性傷害,1,1,,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,3,430,430,RANK1,100,ENEMY_ONE,,,,,,,,,20,,,,,,,,11100011,
11100012,審判劍=魔女破滅,JUGDEMENT WITCH,敵單體/物理/{1}的火屬性傷害,1,1,,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,3,430,430,RANK1,100,ENEMY_ONE,,,,,,,,,20,,,,,,,,11100012,
11100021,審判劍=魔女破滅,JUGDEMENT WITCH,敵單體/物理/{1}的火屬性傷害,1,1,,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,3,430,430,RANK1,100,ENEMY_ONE,,,,,,,,,20,,,,,,,,11100021,
11100022,審判劍=魔女破滅,JUGDEMENT WITCH,敵單體/物理/{1}的火屬性傷害,1,1,,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,3,430,430,RANK2,100,ENEMY_ONE,,,,,,,,,20,,,,,,,,11100022,
11100031,審判劍=魔女破滅,JUGDEMENT WITCH,敵單體/物理/{1}的火屬性傷害,1,1,,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,3,430,430,RANK2,100,ENEMY_ONE,,,,,,,,,20,,,,,,,,11100031,
11100032,審判劍=魔女破滅,JUGDEMENT WITCH,敵單體/物理/{1}的火屬性傷害,1,1,,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,3,430,430,RANK3,100,ENEMY_ONE,,,,,,,,,20,,,,,,,,11100032,
11100041,審判劍=魔女破滅,JUGDEMENT WITCH,敵單體/物理/{1}的火屬性傷害,1,1,,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,3,430,430,RANK2,100,ENEMY_ONE,,,,,,,,,20,,,,,,,,11100041,
11100042,審判劍=魔女破滅,JUGDEMENT WITCH,敵單體/物理/{1}的火屬性傷害,1,1,,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,3,430,430,RANK4,100,ENEMY_ONE,,,,,,,,,20,,,,,,,,11100042,
#第二型バグデマグス_HN/R/SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100051,打擊劍=敗者復活,GET OVER LOSE,敵單體/物理/{1}的火屬性傷害,1,1,,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,2,430,430,RANK1,100,ENEMY_ONE,,,,,,,,,20,,,,,,,,11100051,
11100052,打擊劍=敗者復活,GET OVER LOSE,敵單體/物理/{1}的火屬性傷害,1,1,,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,2,430,430,RANK1,100,ENEMY_ONE,,,,,,,,,20,,,,,,,,11100052,
11100061,打擊劍=敗者復活,GET OVER LOSE,敵單體/物理/{1}的火屬性傷害,1,1,,ATTACK,,,ATTACK,FIRE,MERCENARY,PHYSICS,2,430,430,RANK1,100,ENEMY_ONE,,,,,,,,,20,,,,,,,,11100061,
