#ID,２Ｄ演出,３Ｄ演出,,,,,共通演出,機能1,,,,,,,,,,,,,,,,,,,,,,,,
#,２D演出スクリプト,３D演出カットインスクリプト,３D演出プレイリスト,着弾エフェクト,着弾位置,チャージ演出プレイリスト,ムービー名,タイプ,ターゲット,自身除く,火,氷,風,光,闇,土,雷,水,無,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,パラメータ6,パラメータ7,パラメータ8,パラメータ9,パラメータ10,デッキコンボ倍率使用,ヘイト上限,
#傭兵アーサー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#攻撃_ロンチ無課金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#第二型ガヘリス_HN/R/SR/UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100011,player_skill_slash_0a,,pl_slash_fire_a,,TARGET,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,637,22100,1300,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100012,player_skill_slash_0a,,pl_slash_fire_a,,TARGET,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,1053,35100,1300,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100021,player_skill_slash_0a,,pl_slash_fire_a,,TARGET,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,949,33800,1300,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100022,player_skill_slash_0b,,pl_slash_fire_b,,TARGET,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,1586,55900,1300,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100031,player_skill_slash_0b,,pl_slash_fire_b,,TARGET,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,1755,41600,1300,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100032,player_skill_slash_0c,,pl_slash_fire_c,,TARGET,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,2925,70200,1300,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100041,player_skill_slash_0c,,pl_slash_fire_c,,TARGET,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,3081,52000,1300,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100042,player_skill_slash_0sp,,pl_slash_fire_sp,,TARGET,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,5122,85800,1300,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
#第二型バグデマグス_HN/R/SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100051,player_skill_slash_0a,,pl_slash_fire_a,,TARGET,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,330,11000,1000,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
