#ID,進化合成,,,,,,,,,,,,,,,,
#,進化タイプ,レベル引き継ぎ,基礎費用,進化後ID,素材ID1,素材名声1,素材ID2,素材名声2,素材ID3,素材名声3,素材ID4,素材名声4,素材ID5,素材名声5,素材ID6,素材名声6,
#お助け騎士,,,,,,,,,,,,,,,,,
40000001,,,,,,,,,,,,,,,,,
#160804_ロンチ無課金騎士,,,,,,,,,,,,,,,,,
10000109,NORMAL,,15000,10000110,20000014,1,20000014,1,20000014,1,20000009,1,,,,,
10000110,,,,,,,,,,,,,,,,,
10000042,NORMAL,,10000,10000043,20000007,1,20000007,1,,,,,,,,,
10000043,NORMAL,,15000,10000044,20000012,1,20000012,1,20000012,1,20000007,1,,,,,
10000044,NORMAL,,20000,10000045,20000022,1,20000017,1,20000017,1,20000012,1,20000012,1,,,
10000045,,,,,,,,,,,,,,,,,
10000099,NORMAL,,20000,10000100,20000022,1,20000022,1,20000017,1,20000017,1,20000012,1,20000012,1,
10000100,NORMAL,,20000,10000101,20000025,1,20000022,1,20000022,1,20000017,1,20000017,1,20000017,1,
10000101,,,,,,,,,,,,,,,,,
10000093,NORMAL,,15000,10000094,20000010,1,20000010,1,20000010,1,20000005,1,,,,,
10000094,NORMAL,,20000,10000095,20000020,1,20000015,1,20000015,1,20000010,1,20000010,1,,,
10000095,,,,,,,,,,,,,,,,,
10000010,NORMAL,,10000,10000011,20000010,1,20000005,1,20000005,1,,,,,,,
10000011,NORMAL,,15000,10000012,20000015,1,20000010,1,20000010,1,20000010,1,20000005,1,,,
10000012,NORMAL,,20000,10000013,20000020,1,20000020,1,20000015,1,20000015,1,20000010,1,20000010,1,
10000013,,,,,,,,,,,,,,,,,
10000173,NORMAL,,10000,10000174,20000008,1,20000008,1,,,,,,,,,
10000174,NORMAL,,15000,10000175,20000013,1,20000013,1,20000013,1,20000008,1,,,,,
10000175,,,,,,,,,,,,,,,,,
10000187,NORMAL,,10000,10000188,20000007,1,20000007,1,,,,,,,,,
10000188,NORMAL,,15000,10000189,20000012,1,20000012,1,20000012,1,20000007,1,,,,,
10000189,,,,,,,,,,,,,,,,,
10000105,NORMAL,,10000,10000106,20000006,1,20000006,1,,,,,,,,,
10000106,NORMAL,,15000,10000107,20000011,1,20000011,1,20000011,1,20000006,1,,,,,
10000107,,,,,,,,,,,,,,,,,
10000179,NORMAL,,10000,10000180,20000005,1,20000005,1,,,,,,,,,
10000180,NORMAL,,15000,10000181,20000010,1,20000010,1,20000010,1,20000005,1,,,,,
10000181,,,,,,,,,,,,,,,,,
10000018,NORMAL,,10000,10000019,20000005,1,20000005,1,,,,,,,,,
10000019,NORMAL,,15000,10000020,20000010,1,20000010,1,20000010,1,20000005,1,,,,,
