#ID,パーティー条件,HP条件,,本体HP条件,,,,,,,,,,,,ループ開始ターン,ループターン条件,,,,,,,,,,トリガー条件,
#,,下限,上限,下限,上限,1,2,3,4,5,6,7,8,9,10,,1,2,3,4,5,6,7,8,9,10,トリガータイプ,パラメータ1,パラメータ2,パラメータ3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000001,NULL,,,,,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,NULL,,,,
10000002,NULL,,,,,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,PHYSIC_DAMAGE,1,,,
10000003,NULL,,,,,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,MAGIC_DAMAGE,1,,,
10000004,NULL,,,,,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,BAD_STATUS,STAN,,,
10000005,NULL,,,,,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,NOT_TARGET,,,,
10000006,NULL,,,,,1,,1,,1,,1,,1,,11,1,,1,,1,,1,,1,,NULL,,,,
10000007,NULL,,,,,,1,,1,,1,,1,,1,11,,1,,1,,1,,1,,1,NULL,,,,
10000008,NULL,,,,,1,,,1,,,1,,,1,11,,,1,,,1,,,1,,NULL,,,,
10000009,NULL,,,,,,1,,,1,,,1,,,11,1,,,1,,,1,,,1,NULL,,,,
10000010,NULL,,,,,,,1,,,1,,,1,,11,,1,,,1,,,1,,,NULL,,,,
10000011,NULL,,,,,1,,,,1,,,,1,,11,,,1,,,,1,,,,NULL,,,,
10000012,NULL,,,,,,1,,,,1,,,,1,11,,,,1,,,,1,,,NULL,,,,
10000013,NULL,,,,,,,1,,,,1,,,,11,1,,,,1,,,,1,,NULL,,,,
10000014,NULL,,,,,,,,1,,,,1,,,11,,1,,,,1,,,,1,NULL,,,,
10000015,NULL,,,,,1,,,,,1,,,,,11,1,,,,,1,,,,,NULL,,,,
10000016,NULL,,,,,,1,,,,,1,,,,11,,1,,,,,1,,,,NULL,,,,
10000017,NULL,,,,,,,1,,,,,1,,,11,,,1,,,,,1,,,NULL,,,,
10000018,NULL,,,,,,,,1,,,,,1,,11,,,,1,,,,,1,,NULL,,,,
10000019,NULL,,,,,,,,,1,,,,,1,11,,,,,1,,,,,1,NULL,,,,
10000020,NULL,,,,,1,,,,,,,,,,11,,,,,,,,,,,NULL,,,,
10000021,PARTS_ALL_BREAK,,,,,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,NULL,,,,
10000022,PARTS_1_BREAK,,,,,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,NULL,,,,
10000023,PARTS_2_BREAK,,,,,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,NULL,,,,
10000024,PARTS_3_BREAK,,,,,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,NULL,,,,
10000025,NULL,0,80,,,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,NULL,,,,
10000026,NULL,0,60,,,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,NULL,,,,
10000027,NULL,0,40,,,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,NULL,,,,
