11100011,player_skill_slash_0a,,pl_slash_fire_a,,TARGET,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,637,22100,1300,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100012,player_skill_slash_0a,,pl_slash_fire_a,,TARGET,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,1053,35100,1300,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100021,player_skill_slash_0a,,pl_slash_fire_a,,TARGET,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,949,33800,1300,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100022,player_skill_slash_0b,,pl_slash_fire_b,,TARGET,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,1586,55900,1300,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100031,player_skill_slash_0b,,pl_slash_fire_b,,TARGET,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,1755,41600,1300,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100032,player_skill_slash_0c,,pl_slash_fire_c,,TARGET,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,2925,70200,1300,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100041,player_skill_slash_0c,,pl_slash_fire_c,,TARGET,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,3081,52000,1300,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100042,player_skill_slash_0sp,,pl_slash_fire_sp,,TARGET,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,5122,85800,1300,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100051,player_skill_slash_0a,,pl_slash_fire_a,,TARGET,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,330,11000,1000,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100052,player_skill_slash_0a,,pl_slash_fire_a,,TARGET,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,540,18000,1000,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100061,player_skill_slash_0a,,pl_slash_fire_a,,TARGET,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,490,18000,1000,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100062,player_skill_slash_0b,,pl_slash_fire_b,,TARGET,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,810,29000,1000,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100071,player_skill_slash_0b,,pl_slash_fire_b,,TARGET,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,900,22000,1000,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
11100072,player_skill_slash_0c,,pl_slash_fire_c,,TARGET,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,1500,36000,1000,0,1,ATK,150,FIRE,PHYSICS,,1,1000000,
